competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,founder,beaconlabs-io/muse,TobiWo/eth-duties,TobiWo/eth-duties,2025-10-21T17:10:45.341730+00:00,0.00055475
gg24,founder,0xPolygonHermez/zisk,blockscout/blockscout,blockscout/blockscout,2025-10-21T17:10:45.581645+00:00,0.000681
gg24,founder,iden3/snarkjs,lambdaclass/rex,iden3/snarkjs,2025-10-21T17:10:45.847481+00:00,0.000681
gg24,founder,lambdaclass/ethrex,shamatar/poseidon_hash,lambdaclass/ethrex,2025-10-21T17:10:45.889173+00:00,0.000555
gg24,founder,ethlimo/dweb-proxy-api,kamikazebr/owner-sync-safe,ethlimo/dweb-proxy-api,2025-10-21T17:10:46.348363+00:00,0.0008075
gg24,founder,l2beat/l2beat,PracticalParticle/Bloxchain-Protocol,l2beat/l2beat,2025-10-21T17:10:46.597880+00:00,0.0008205
gg24,founder,ethui/ethui,Pier-Two/Lantern.Discv5,ethui/ethui,2025-10-21T17:10:46.703551+00:00,0.000809
gg24,founder,dewdrip/eth-mobile,wighawag/hardhat-deploy,wighawag/hardhat-deploy,2025-10-21T17:10:46.974177+00:00,0.00080775
gg24,founder,blockblaz/zeam,ethereum-attestation-service/eas-contracts,ethereum-attestation-service/eas-contracts,2025-10-21T17:10:47.053446+00:00,0.00068175
gg24,founder,PracticalParticle/Bloxchain-Protocol,tlsnotary/tlsn,PracticalParticle/Bloxchain-Protocol,2025-10-21T17:10:47.097641+00:00,0.00081775
gg24,founder,holiman/goevmlab,keep-starknet-strange/garaga,holiman/goevmlab,2025-10-21T17:10:47.098127+00:00,0.000685
gg24,founder,intellij-solidity/intellij-solidity,opensource-observer/oso,intellij-solidity/intellij-solidity,2025-10-21T17:10:47.452911+00:00,0.001192
gg24,founder,0xPolygonHermez/zisk-eth-client,open-rpc/client-js,open-rpc/client-js,2025-10-21T17:10:47.529423+00:00,0.000808
gg24,founder,kamikazebr/owner-sync-safe,lambdaclass/ethrex,lambdaclass/ethrex,2025-10-21T17:10:47.546114+00:00,0.00093825
gg24,founder,0xFacet/facet-node,enscribexyz/enscribe,0xFacet/facet-node,2025-10-21T17:10:47.623907+00:00,0.00105925
gg24,founder,0xPolygonHermez/pil2-proofman,flashbots/mev-boost-relay,flashbots/mev-boost-relay,2025-10-21T17:10:47.747907+00:00,0.00094075
gg24,founder,iggy-social/iggy-social-frontend,indutny/elliptic,indutny/elliptic,2025-10-21T17:10:47.863037+00:00,0.000812
gg24,founder,holiman/goevmlab,Raiders0786/digibastion,holiman/goevmlab,2025-10-21T17:10:47.879598+00:00,0.001071
gg24,founder,Consensys/gnark-crypto,flashbots/mev-boost,flashbots/mev-boost,2025-10-21T17:10:48.015970+00:00,0.00095025
gg24,founder,boundless-xyz/steel,migalabs/goteth,migalabs/goteth,2025-10-21T17:10:48.032749+00:00,0.0009395
gg24,founder,aestus-relay/mev-boost-relay,Cyfrin/aderyn,aestus-relay/mev-boost-relay,2025-10-21T17:10:48.077811+00:00,0.00094125
gg24,founder,lambdaclass/rex,powdr-labs/powdr,powdr-labs/powdr,2025-10-21T17:10:48.109905+00:00,0.000939
gg24,founder,AgnopraxLab/D2PFuzz,DefiLlama/chainlist,DefiLlama/chainlist,2025-10-21T17:10:48.128654+00:00,0.00080925
gg24,founder,axiom-crypto/openvm-reth-benchmark,flashbots/rbuilder,flashbots/rbuilder,2025-10-21T17:10:48.334467+00:00,0.000939
gg24,founder,brevis-network/Pico-zkCoprocessor,ethaccount/SAManager,ethaccount/SAManager,2025-10-21T17:10:48.746027+00:00,0.00093725
gg24,founder,indutny/elliptic,triplewz/poseidon,indutny/elliptic,2025-10-21T17:10:48.812021+00:00,0.00119375
gg24,founder,flashbots/relay-specs,lambdaclass/rex,flashbots/relay-specs,2025-10-21T17:10:48.829487+00:00,0.001192
gg24,founder,blockblaz/zeam,boundless-xyz/steel,blockblaz/zeam,2025-10-21T17:10:48.938439+00:00,0.00093675
gg24,founder,Cyfrin/aderyn,taikoxyz/taiko-mono,taikoxyz/taiko-mono,2025-10-21T17:10:49.127624+00:00,0.00106825
gg24,founder,beaconlabs-io/muse,taikoxyz/raiko,taikoxyz/raiko,2025-10-21T17:10:49.144581+00:00,0.00094375
gg24,founder,ethereum/py_ecc,joshstevens19/rrelayer,ethereum/py_ecc,2025-10-21T17:10:49.161127+00:00,0.000940
gg24,founder,ethereum-attestation-service/eas-contracts,migalabs/goteth,ethereum-attestation-service/eas-contracts,2025-10-21T17:10:49.180786+00:00,0.0011965
gg24,founder,circuitscan/circuitscan,iden3/circomlib,iden3/circomlib,2025-10-21T17:10:49.238990+00:00,0.00080825
gg24,founder,ethlimo/dweb-proxy-api,OffchainLabs/stylus-sdk-rs,OffchainLabs/stylus-sdk-rs,2025-10-21T17:10:49.269808+00:00,0.001067
gg24,founder,beaconlabs-io/muse,Layr-Labs/devkit-cli,Layr-Labs/devkit-cli,2025-10-21T17:10:49.285856+00:00,0.0013255
gg24,founder,axiom-crypto/openvm-reth-benchmark,openlabelsinitiative/OLI,openlabelsinitiative/OLI,2025-10-21T17:10:49.301810+00:00,0.00119225
gg24,founder,sumitvekariya/sol2seq,witnet/elliptic-curve-solidity,witnet/elliptic-curve-solidity,2025-10-21T17:10:49.318579+00:00,0.00094175
gg24,founder,Certora/CertoraProver,opensource-observer/oso,Certora/CertoraProver,2025-10-21T17:10:49.504553+00:00,0.001069
gg24,founder,ethstaker/eth-docker,Lightprotocol/light-poseidon,ethstaker/eth-docker,2025-10-21T17:10:49.549102+00:00,0.00093575
gg24,founder,orbitdb/orbitdb,pcaversaccio/safe-tx-hashes-util,orbitdb/orbitdb,2025-10-21T17:10:49.602952+00:00,0.0010735
gg24,founder,OffchainLabs/stylus-sdk-rs,opensource-observer/oso,OffchainLabs/stylus-sdk-rs,2025-10-21T17:10:49.655949+00:00,0.00106475
gg24,founder,herumi/mcl,Lay3rLabs/WAVS,herumi/mcl,2025-10-21T17:10:49.674284+00:00,0.00106275
gg24,founder,edb-rs/edb,EspressoSystems/jellyfish,EspressoSystems/jellyfish,2025-10-21T17:10:49.691394+00:00,0.001322
gg24,founder,Markeljan/web3gpt,PolyhedraZK/Expander,PolyhedraZK/Expander,2025-10-21T17:10:49.849346+00:00,0.0011965
gg24,founder,blockblaz/zeam,succinctlabs/sp1,succinctlabs/sp1,2025-10-21T17:10:50.223370+00:00,0.00106725
gg24,founder,Blobscan/blobscan,corpus-core/colibri-stateless,Blobscan/blobscan,2025-10-21T17:10:50.327215+00:00,0.00106425
gg24,founder,easpulse/easpulse.com,qdrvm/qlean-mini,easpulse/easpulse.com,2025-10-21T17:10:50.342882+00:00,0.001197
