competition_id,method,rank,item,weight
gg24,rank-centrality,1,flashbots/mev-boost,0.16223771219600833
gg24,rank-centrality,2,indutny/elliptic,0.10599215029192637
gg24,rank-centrality,3,flashbots/mev-boost-relay,0.08958907503948711
gg24,rank-centrality,4,supranational/blst,0.08592740283794763
gg24,rank-centrality,5,ethereum/js-ethereum-cryptography,0.0798518350587748
gg24,rank-centrality,6,wighawag/hardhat-deploy,0.06994336959310346
gg24,rank-centrality,7,libp2p/libp2p,0.06263256206133148
gg24,rank-centrality,8,iden3/snarkjs,0.05814749457792262
gg24,rank-centrality,9,ethereum/py_ecc,0.03556325724446528
gg24,rank-centrality,10,herumi/bls,0.028923732493755825
gg24,rank-centrality,11,scipr-lab/libsnark,0.02876589717224195
gg24,rank-centrality,12,LFDT-web3j/web3j,0.02074042246390047
gg24,rank-centrality,13,herumi/mcl,0.019184707127846916
gg24,rank-centrality,14,blockscout/blockscout,0.015556047182623193
gg24,rank-centrality,15,paulmillr/noble-curves,0.014746257753878998
gg24,rank-centrality,16,Zokrates/ZoKrates,0.013718020550457247
gg24,rank-centrality,17,arkworks-rs/algebra,0.011349455877973678
gg24,rank-centrality,18,protofire/solhint,0.008580104694053903
gg24,rank-centrality,19,iden3/circomlib,0.008569298563392669
gg24,rank-centrality,20,DefiLlama/chainlist,0.007894130395226642
gg24,rank-centrality,21,taikoxyz/taiko-mono,0.006956523127033186
gg24,rank-centrality,22,w3f/bls,0.006166400745361288
gg24,rank-centrality,23,flashbots/rbuilder,0.005791953092336696
gg24,rank-centrality,24,l2beat/l2beat,0.005489860480584976
gg24,rank-centrality,25,Vectorized/solady,0.004522202894428021
gg24,rank-centrality,26,flashbots/relay-specs,0.003967595148240503
gg24,rank-centrality,27,DefiLlama/DefiLlama-Adapters,0.0037971901984922346
gg24,rank-centrality,28,shazow/whatsabi,0.002606784212890614
gg24,rank-centrality,29,Consensys/gnark-crypto,0.0024065979235356545
gg24,rank-centrality,30,Plonky3/Plonky3,0.0021446643593118725
gg24,rank-centrality,31,Certora/CertoraProver,0.001999541262725959
gg24,rank-centrality,32,otterscan/otterscan,0.0017723512689938944
gg24,rank-centrality,33,orbitdb/orbitdb,0.00163420720840015
gg24,rank-centrality,34,Cyfrin/aderyn,0.001632176195372817
gg24,rank-centrality,35,ethstaker/eth-docker,0.0015557922339291027
gg24,rank-centrality,36,succinctlabs/sp1,0.0014091856837750662
gg24,rank-centrality,37,ChainSafe/bls,0.0013637166245459506
gg24,rank-centrality,38,arkworks-rs/r1cs-std,0.0013213341485300702
gg24,rank-centrality,39,intellij-solidity/intellij-solidity,0.0011397601268064933
gg24,rank-centrality,40,skalenetwork/libBLS,0.0010092570834692638
gg24,rank-centrality,41,dappnode/DAppNode,0.0008010213906181714
gg24,rank-centrality,42,aestus-relay/mev-boost-relay,0.000694453615561286
gg24,rank-centrality,43,dusk-network/Poseidon252,0.0005728166842309326
gg24,rank-centrality,44,lambdaclass/ethrex,0.0005315537728100764
gg24,rank-centrality,45,lambdaclass/lambdaworks,0.0005268569293843536
gg24,rank-centrality,46,wealdtech/ethdo,0.0004741159587316018
gg24,rank-centrality,47,TrueBlocks/trueblocks-core,0.0004643755347679755
gg24,rank-centrality,48,wighawag/clones-with-immutable-args,0.0004615588072297302
gg24,rank-centrality,49,a16z/halmos,0.0004368168391288469
gg24,rank-centrality,50,EspressoSystems/jellyfish,0.0004246218131982476
gg24,rank-centrality,51,pcaversaccio/safe-tx-hashes-util,0.00041610602439253114
gg24,rank-centrality,52,NethermindEth/sedge,0.00040379986434531384
gg24,rank-centrality,53,smartcontracts/simple-optimism-node,0.00035789441913770494
gg24,rank-centrality,54,open-rpc/client-js,0.00034797441933365994
gg24,rank-centrality,55,CryptoExperts/poseidon,0.0003190509489564974
gg24,rank-centrality,56,succinctlabs/op-succinct,0.00026504942574280034
gg24,rank-centrality,57,0xMiden/miden-vm,0.00025578745765119786
gg24,rank-centrality,58,EspressoSystems/hyperplonk,0.000251591374390709
gg24,rank-centrality,59,axiom-crypto/halo2-lib,0.0002498193227462818
gg24,rank-centrality,60,Commit-Boost/commit-boost-client,0.00024073757461772142
gg24,rank-centrality,61,HorizenLabs/poseidon2,0.00024040409443753716
gg24,rank-centrality,62,riscv/sail-riscv,0.00022554907872407272
gg24,rank-centrality,63,NethermindEth/juno,0.00021399790714381618
gg24,rank-centrality,64,ethereum-attestation-service/eas-contracts,0.00021351382297020183
gg24,rank-centrality,65,NethermindEth/Forta-Agents,0.0002014609716217108
gg24,rank-centrality,66,evmts/tevm-monorepo,0.0001878740703393686
gg24,rank-centrality,67,iden3/go-iden3-crypto,0.00018275307289134464
gg24,rank-centrality,68,ethstaker/ethstaker-deposit-cli,0.0001738328734682015
gg24,rank-centrality,69,matter-labs/solx,0.00017028052138346562
gg24,rank-centrality,70,OffchainLabs/stylus-sdk-rs,0.0001525602389854696
gg24,rank-centrality,71,holiman/goevmlab,0.00013941763767379752
gg24,rank-centrality,72,arnaucube/poseidon-rs,0.00012646542693732661
gg24,rank-centrality,73,risc0/RustCrypto-elliptic-curves,0.00012434729052396233
gg24,rank-centrality,74,stake-house/eth-wizard,0.00011964075801680899
gg24,rank-centrality,75,axiom-crypto/snark-verifier,0.00011505406771920386
gg24,rank-centrality,76,OpenZeppelin/openzeppelin-relayer,0.0001137428964448478
gg24,rank-centrality,77,succinctlabs/rsp,0.00010412964674666954
gg24,rank-centrality,78,edb-rs/edb,9.640090756312341e-05
gg24,rank-centrality,79,simplito/elliptic-php,9.63724671170204e-05
gg24,rank-centrality,80,attestantio/dirk,9.567572555740281e-05
gg24,rank-centrality,81,powdr-labs/powdr,9.301847738507876e-05
gg24,rank-centrality,82,witnet/elliptic-curve-solidity,8.210996135154366e-05
gg24,rank-centrality,83,swiss-knife-xyz/swiss-knife,7.972069891026648e-05
gg24,rank-centrality,84,dl-solarity/solidity-lib,7.595972234929916e-05
gg24,rank-centrality,85,ingonyama-zk/poseidon-hash,7.283317900286623e-05
gg24,rank-centrality,86,keep-starknet-strange/garaga,7.113739990981438e-05
gg24,rank-centrality,87,migalabs/armiarma,6.865582624888089e-05
gg24,rank-centrality,88,wealdtech/ethereal,6.709321397233635e-05
gg24,rank-centrality,89,risc0/risc0-ethereum,6.327571992980381e-05
gg24,rank-centrality,90,pcaversaccio/snekmate,6.18543003713779e-05
gg24,rank-centrality,91,attestantio/vouch,5.1149059128202254e-05
gg24,rank-centrality,92,0xPolygonHermez/zisk,5.0607749262143484e-05
gg24,rank-centrality,93,q9f/eth.rb,4.450367963528477e-05
gg24,rank-centrality,94,TaceoLabs/co-snarks,4.337444454637669e-05
gg24,rank-centrality,95,keep-starknet-strange/poseidon-rs,3.872159623342742e-05
gg24,rank-centrality,96,han0110/plonkish,3.801297348395281e-05
gg24,rank-centrality,97,jolly-roger-eth/ethereum-indexer,3.753809524898829e-05
gg24,rank-centrality,98,lambdaclass/cairo_native,3.665849099169959e-05
gg24,rank-centrality,99,shamatar/poseidon_hash,3.249339028829315e-05
gg24,rank-centrality,100,EOA-Blockchain-Labs/ethereumonarm,3.20114405888792e-05
gg24,rank-centrality,101,stake-house/wagyu-key-gen,3.1836470878910176e-05
gg24,rank-centrality,102,openvm-org/openvm,3.105048531155971e-05
gg24,rank-centrality,103,valida-xyz/valida,3.001443558049718e-05
gg24,rank-centrality,104,Lightprotocol/light-poseidon,2.9757668740010487e-05
gg24,rank-centrality,105,evmts/guillotine,2.6518612152339133e-05
gg24,rank-centrality,106,taikoxyz/raiko,2.6119447367726873e-05
gg24,rank-centrality,107,Blobscan/blobscan,2.3706053511379416e-05
gg24,rank-centrality,108,Verified-zkEVM/clean,2.178114125826219e-05
gg24,rank-centrality,109,lighthouse-web3/lighthouse-package,2.0854513890292276e-05
gg24,rank-centrality,110,ritual-net/infernet-node,1.8856992597867764e-05
gg24,rank-centrality,111,3loop/loop-decoder,1.8717118857620215e-05
gg24,rank-centrality,112,succinctlabs/network,1.8240513105090922e-05
gg24,rank-centrality,113,migalabs/goteth,1.776971614632336e-05
gg24,rank-centrality,114,risc0/zirgen,1.711862805675994e-05
gg24,rank-centrality,115,pawurb/mevlog-rs,1.6250463512485343e-05
gg24,rank-centrality,116,ethui/ethui,1.6203988169370614e-05
