competition_id,method,rank,item,weight
gg24,bradley-terry,1,argotorg/solidity,0.1769145264491769
gg24,bradley-terry,2,ethereum/go-ethereum,0.11853028591542529
gg24,bradley-terry,3,ethereum/EIPs,0.11421452470911167
gg24,bradley-terry,4,OpenZeppelin/openzeppelin-contracts,0.06339610044511038
gg24,bradley-terry,5,ethereum/consensus-specs,0.04567564714605998
gg24,bradley-terry,6,NomicFoundation/hardhat,0.03838002425703118
gg24,bradley-terry,7,ethers-io/ethers.js,0.037058921763023334
gg24,bradley-terry,8,OffchainLabs/prysm,0.026543669945369334
gg24,bradley-terry,9,supranational/blst,0.020231579252970516
gg24,bradley-terry,10,foundry-rs/foundry,0.01933575125868375
gg24,bradley-terry,11,erigontech/erigon,0.018701260103373578
gg24,bradley-terry,12,sigp/lighthouse,0.018571466931357458
gg24,bradley-terry,13,ethereum/execution-apis,0.016589329626946314
gg24,bradley-terry,14,NethermindEth/nethermind,0.015402197936124424
gg24,bradley-terry,15,remix-project-org/remix-project,0.015151745182967219
gg24,bradley-terry,16,flashbots/mev-boost,0.012081198503421466
gg24,bradley-terry,17,ethereum/web3.py,0.011902957519966775
gg24,bradley-terry,18,Consensys/teku,0.009599727855134185
gg24,bradley-terry,19,hyperledger/besu,0.007693779296977031
gg24,bradley-terry,20,libp2p/libp2p,0.007500505446913901
gg24,bradley-terry,21,wevm/viem,0.00711657290589405
gg24,bradley-terry,22,flashbots/mev-boost-relay,0.006942921431160944
gg24,bradley-terry,23,argotorg/sourcify,0.006423032026728799
gg24,bradley-terry,24,ChainSafe/lodestar,0.00635384944089883
gg24,bradley-terry,25,ethereum/js-ethereum-cryptography,0.006309978299268383
gg24,bradley-terry,26,safe-global/safe-smart-account,0.006108893313714316
gg24,bradley-terry,27,paradigmxyz/reth,0.006049950760519303
gg24,bradley-terry,28,ethereum/py_ecc,0.006013788472167608
gg24,bradley-terry,29,vyperlang/vyper,0.005895616467113316
gg24,bradley-terry,30,wighawag/hardhat-deploy,0.005774495644492065
gg24,bradley-terry,31,paulmillr/noble-curves,0.005713212043871391
gg24,bradley-terry,32,blockscout/blockscout,0.005528608235288843
gg24,bradley-terry,33,herumi/mcl,0.0053506227216148835
