competition_id,method,rank,item,weight
gg24,colley,1,argotorg/solidity,0.02053967299561091
gg24,colley,2,ethereum/EIPs,0.020085608265304502
gg24,colley,3,OpenZeppelin/openzeppelin-contracts,0.020049837553887295
gg24,colley,4,ethereum/go-ethereum,0.019763757312845482
gg24,colley,5,ethereum/consensus-specs,0.019428006948080313
gg24,colley,6,NomicFoundation/hardhat,0.01918068322875466
gg24,colley,7,OffchainLabs/prysm,0.01880203065601493
gg24,colley,8,ethers-io/ethers.js,0.018767209382973327
gg24,colley,9,ethereum/execution-apis,0.018304820884928137
gg24,colley,10,foundry-rs/foundry,0.018224553753314575
gg24,colley,11,erigontech/erigon,0.018165935800442505
gg24,colley,12,supranational/blst,0.018163326586905053
gg24,colley,13,sigp/lighthouse,0.01809147165145541
gg24,colley,14,NethermindEth/nethermind,0.017909233162360587
gg24,colley,15,remix-project-org/remix-project,0.017740914729451766
gg24,colley,16,flashbots/mev-boost,0.01717571961140986
gg24,colley,17,ethereum/web3.py,0.016863968035699034
gg24,colley,18,Consensys/teku,0.0165228912293398
gg24,colley,19,hyperledger/besu,0.015858846272669147
gg24,colley,20,libp2p/libp2p,0.01559904270826826
gg24,colley,21,flashbots/mev-boost-relay,0.015444508230834087
gg24,colley,22,wevm/viem,0.015428222076025367
gg24,colley,23,argotorg/sourcify,0.014932689338178649
gg24,colley,24,ChainSafe/lodestar,0.014827975717075477
gg24,colley,25,wighawag/hardhat-deploy,0.014693689621152153
gg24,colley,26,ethereum/js-ethereum-cryptography,0.01468813806621674
gg24,colley,27,safe-global/safe-smart-account,0.014665889155955987
gg24,colley,28,paradigmxyz/reth,0.014645863039184978
gg24,colley,29,ethereum/py_ecc,0.014583677993385566
gg24,colley,30,paulmillr/noble-curves,0.014353630832836398
gg24,colley,31,vyperlang/vyper,0.014118549778881948
gg24,colley,32,herumi/mcl,0.014036882612105426
gg24,colley,33,blockscout/blockscout,0.013997378909773681
gg24,colley,34,ipsilon/evmone,0.013827456141964173
gg24,colley,35,LFDT-web3j/web3j,0.013457764238016133
gg24,colley,36,l2beat/l2beat,0.012741431510862164
gg24,colley,37,ethereum-lists/chains,0.012721309835712414
gg24,colley,38,eth-infinitism/account-abstraction,0.012663980111048379
gg24,colley,39,scaffold-eth/scaffold-eth-2,0.01257670020089084
gg24,colley,40,arkworks-rs/algebra,0.012174804979957918
gg24,colley,41,Vectorized/solady,0.011858808911255635
gg24,colley,42,status-im/nimbus-eth2,0.0114221355024721
gg24,colley,43,protofire/solhint,0.011399079012480148
gg24,colley,44,taikoxyz/taiko-mono,0.011349662151876789
gg24,colley,45,erigontech/silkworm,0.011332978338635023
gg24,colley,46,Consensys/gnark-crypto,0.011299097263293744
gg24,colley,47,flashbots/rbuilder,0.011231654263775235
gg24,colley,48,Nethereum/Nethereum,0.01122385707329055
gg24,colley,49,argotorg/hevm,0.010490425839271122
gg24,colley,50,DefiLlama/DefiLlama-Adapters,0.010245367821560195
gg24,colley,51,Plonky3/Plonky3,0.009850084389498992
gg24,colley,52,ChainSafe/bls,0.009607856964538131
gg24,colley,53,ApeWorX/ape,0.009390700610140551
gg24,colley,54,ethstaker/eth-docker,0.009278770577921433
gg24,colley,55,Certora/CertoraProver,0.009152748041386835
gg24,colley,56,DefiLlama/chainlist,0.009055874258830577
gg24,colley,57,dappnode/DAppNode,0.008313312708999718
gg24,colley,58,intellij-solidity/intellij-solidity,0.008259354303626123
gg24,colley,59,wealdtech/ethdo,0.007813413633958393
gg24,colley,60,succinctlabs/sp1,0.007418894495902363
gg24,colley,61,lambdaclass/lambdaworks,0.007272078690681182
gg24,colley,62,a16z/helios,0.007224561961723372
gg24,colley,63,TrueBlocks/trueblocks-core,0.0067256957468956055
gg24,colley,64,shazow/whatsabi,0.006567951146491416
gg24,colley,65,ethpandaops/ethereum-helm-charts,0.0065453301258501856
gg24,colley,66,succinctlabs/op-succinct,0.006439355630451118
gg24,colley,67,skalenetwork/libBLS,0.0061242501734830425
gg24,colley,68,smartcontracts/simple-optimism-node,0.006124164820782829
gg24,colley,69,EspressoSystems/jellyfish,0.005890948891409842
gg24,colley,70,0xMiden/miden-vm,0.005368700462380558
gg24,colley,71,alloy-rs/alloy,0.005140142499811252
gg24,colley,72,argotorg/fe,0.0049311143916339305
gg24,colley,73,lambdaclass/ethrex,0.00477945264875176
gg24,colley,74,ethpandaops/ethereum-package,0.004674044491795442
gg24,colley,75,a16z/halmos,0.004654926608086621
gg24,colley,76,NethermindEth/juno,0.0046313535669794325
gg24,colley,77,grandinetech/grandine,0.004563084119592168
gg24,colley,78,otterscan/otterscan,0.004496311762312019
gg24,colley,79,holiman/goevmlab,0.004451099630809301
gg24,colley,80,Cyfrin/aderyn,0.004381240535562611
gg24,colley,81,Commit-Boost/commit-boost-client,0.00434692860071438
gg24,colley,82,succinctlabs/rsp,0.0037693710651003146
gg24,colley,83,OffchainLabs/stylus-sdk-rs,0.0036852370069690617
gg24,colley,84,edb-rs/edb,0.0036596622694327167
gg24,colley,85,evmts/tevm-monorepo,0.0029288682718034286
gg24,colley,86,risc0/risc0-ethereum,0.002741151001717129
gg24,colley,87,aestus-relay/mev-boost-relay,0.0027078787903056937
gg24,colley,88,vyperlang/titanoboa,0.0026804595202852342
gg24,colley,89,ethstaker/ethstaker-deposit-cli,0.002667494267105081
gg24,colley,90,ethpandaops/checkpointz,0.0023128444664917724
gg24,colley,91,powdr-labs/powdr,0.0021632673497005046
gg24,colley,92,dl-solarity/solidity-lib,0.0018964183683090107
gg24,colley,93,swiss-knife-xyz/swiss-knife,0.0018545045527558646
gg24,colley,94,axiom-crypto/snark-verifier,0.0017230189487341886
gg24,colley,95,deepfunding/dependency-graph,0.0016207576393883173
gg24,colley,96,ethdebug/format,0.0011934565207953201
gg24,colley,97,lambdaclass/lambda_ethereum_consensus,0.0009199534878269044
gg24,colley,98,argotorg/act,0.0003307706445937471
