competition_id,method,rank,item,weight
gg24,least-squares,1,argotorg/solidity,0.012214029113346004
gg24,least-squares,2,ethereum/EIPs,0.012114881810701963
gg24,least-squares,3,OpenZeppelin/openzeppelin-contracts,0.012107132885533198
gg24,least-squares,4,ethereum/go-ethereum,0.012045002805995419
gg24,least-squares,5,ethereum/consensus-specs,0.011973159388293719
gg24,least-squares,6,NomicFoundation/hardhat,0.011920238957501291
gg24,least-squares,7,OffchainLabs/prysm,0.01183945432546223
gg24,least-squares,8,ethers-io/ethers.js,0.011832120475913515
gg24,least-squares,9,ethereum/execution-apis,0.011734912780433841
gg24,least-squares,10,foundry-rs/foundry,0.011718027044563104
gg24,least-squares,11,erigontech/erigon,0.011705283253255393
gg24,least-squares,12,supranational/blst,0.011704942359082135
gg24,least-squares,13,sigp/lighthouse,0.011689893225681782
gg24,least-squares,14,NethermindEth/nethermind,0.011651896495084876
gg24,least-squares,15,remix-project-org/remix-project,0.011616660836864912
gg24,least-squares,16,flashbots/mev-boost,0.011499778722995535
gg24,least-squares,17,ethereum/web3.py,0.01143572814698194
gg24,least-squares,18,Consensys/teku,0.011366008356457305
gg24,least-squares,19,hyperledger/besu,0.01123200344702762
gg24,least-squares,20,libp2p/libp2p,0.011179552163914079
gg24,least-squares,21,flashbots/mev-boost-relay,0.01114852643499169
gg24,least-squares,22,wevm/viem,0.01114533006965084
gg24,least-squares,23,argotorg/sourcify,0.011046757141343781
gg24,least-squares,24,ChainSafe/lodestar,0.011026159422812588
gg24,least-squares,25,wighawag/hardhat-deploy,0.01099985793221525
gg24,least-squares,26,ethereum/js-ethereum-cryptography,0.010998655385637475
gg24,least-squares,27,safe-global/safe-smart-account,0.010994235587294602
gg24,least-squares,28,paradigmxyz/reth,0.010990161370890632
gg24,least-squares,29,ethereum/py_ecc,0.010978005413620246
gg24,least-squares,30,paulmillr/noble-curves,0.010932872147385026
gg24,least-squares,31,vyperlang/vyper,0.01088702138240691
gg24,least-squares,32,herumi/mcl,0.010871053389973932
gg24,least-squares,33,blockscout/blockscout,0.010863373149352807
gg24,least-squares,34,ipsilon/evmone,0.010830198148477025
gg24,least-squares,35,LFDT-web3j/web3j,0.010758097534568401
gg24,least-squares,36,l2beat/l2beat,0.01062172431633904
gg24,least-squares,37,ethereum-lists/chains,0.010617927425727442
gg24,least-squares,38,eth-infinitism/account-abstraction,0.010606846060339844
gg24,least-squares,39,scaffold-eth/scaffold-eth-2,0.010590644096769427
gg24,least-squares,40,arkworks-rs/algebra,0.010514513531840079
gg24,least-squares,41,Vectorized/solady,0.010455134282361752
gg24,least-squares,42,status-im/nimbus-eth2,0.01037383729855413
