competition_id,juror_id,item_a,item_b,winner,comparison_created_at,comparison_cost
gg24,dev,Layr-Labs/eigenx-cli,supranational/blst,supranational/blst,2025-10-21T17:27:30.386880+00:00,0.0006835
gg24,dev,flashbots/relay-specs,lambdaclass/ethrex,flashbots/relay-specs,2025-10-21T17:27:30.802030+00:00,0.000940
gg24,dev,ethereum/js-ethereum-cryptography,TrueBlocks/trueblocks-core,ethereum/js-ethereum-cryptography,2025-10-21T17:27:30.926003+00:00,0.00081025
gg24,dev,easpulse/easpulse.com,ethstaker/eth-docker,ethstaker/eth-docker,2025-10-21T17:27:31.121710+00:00,0.000685
gg24,dev,easpulse/easpulse.com,keep-starknet-strange/poseidon-rs,keep-starknet-strange/poseidon-rs,2025-10-21T17:27:31.544915+00:00,0.00068775
gg24,dev,blockscout/blockscout,joshstevens19/rrelayer,blockscout/blockscout,2025-10-21T17:27:31.777326+00:00,0.00094175
gg24,dev,lambdaclass/ethrex,Raiders0786/digibastion,lambdaclass/ethrex,2025-10-21T17:27:31.952004+00:00,0.0009485
gg24,dev,paulmillr/noble-curves,ponkila/HomestakerOS,paulmillr/noble-curves,2025-10-21T17:27:32.128004+00:00,0.000686
gg24,dev,open-rpc/client-js,opensource-observer/oso,open-rpc/client-js,2025-10-21T17:27:32.253031+00:00,0.00093475
gg24,dev,risc0/zirgen,Rocket-Rescue-Node/rescue-ui,risc0/zirgen,2025-10-21T17:27:32.287824+00:00,0.0009385
gg24,dev,PracticalParticle/Bloxchain-Protocol,shamatar/poseidon_hash,shamatar/poseidon_hash,2025-10-21T17:27:32.309534+00:00,0.0009455
gg24,dev,keep-starknet-strange/garaga,openintentsframework/oif-solver,keep-starknet-strange/garaga,2025-10-21T17:27:32.330048+00:00,0.00107425
gg24,dev,blockblaz/zeam,pcaversaccio/safe-tx-hashes-util,pcaversaccio/safe-tx-hashes-util,2025-10-21T17:27:32.337031+00:00,0.00094525
gg24,dev,Certora/CertoraProver,ithacaxyz/relay,Certora/CertoraProver,2025-10-21T17:27:32.512326+00:00,0.00094375
gg24,dev,easpulse/easpulse.com,serenita-org/vero,serenita-org/vero,2025-10-21T17:27:32.565910+00:00,0.00081525
gg24,dev,CryptoExperts/poseidon,ethereum-attestation-service/eas-contracts,CryptoExperts/poseidon,2025-10-21T17:27:32.596658+00:00,0.001063
gg24,dev,NethermindEth/sedge,wighawag/hardhat-deploy,wighawag/hardhat-deploy,2025-10-21T17:27:32.791073+00:00,0.0009385
gg24,dev,ritual-net/infernet-node,smartcontracts/simple-optimism-node,smartcontracts/simple-optimism-node,2025-10-21T17:27:33.090151+00:00,0.0008125
