competition_id,method,rank,item,weight
gg24,bradley-terry-regularized,1,indutny/elliptic,0.1534511796541519
gg24,bradley-terry-regularized,2,supranational/blst,0.09425150722906156
gg24,bradley-terry-regularized,3,flashbots/mev-boost,0.06016414397849471
gg24,bradley-terry-regularized,4,libp2p/libp2p,0.05093953806575278
gg24,bradley-terry-regularized,5,ethereum/js-ethereum-cryptography,0.050907647324638435
gg24,bradley-terry-regularized,6,wighawag/hardhat-deploy,0.04870263674476636
gg24,bradley-terry-regularized,7,flashbots/mev-boost-relay,0.04126117936196062
gg24,bradley-terry-regularized,8,LFDT-web3j/web3j,0.04088207059824435
gg24,bradley-terry-regularized,9,herumi/mcl,0.0387897204465269
gg24,bradley-terry-regularized,10,iden3/snarkjs,0.03661029639302682
gg24,bradley-terry-regularized,11,blockscout/blockscout,0.03401767491056884
gg24,bradley-terry-regularized,12,ethereum/py_ecc,0.03090963286795522
gg24,bradley-terry-regularized,13,herumi/bls,0.02965236767879243
gg24,bradley-terry-regularized,14,paulmillr/noble-curves,0.024690795881831713
gg24,bradley-terry-regularized,15,iden3/circomlib,0.020174329102220143
gg24,bradley-terry-regularized,16,scipr-lab/libsnark,0.019547847634928794
gg24,bradley-terry-regularized,17,flashbots/rbuilder,0.018357414331315887
gg24,bradley-terry-regularized,18,arkworks-rs/algebra,0.016693355462729095
gg24,bradley-terry-regularized,19,Consensys/gnark-crypto,0.015245997166657983
gg24,bradley-terry-regularized,20,l2beat/l2beat,0.01330696785243559
gg24,bradley-terry-regularized,21,Zokrates/ZoKrates,0.011722334101891795
gg24,bradley-terry-regularized,22,flashbots/relay-specs,0.009462376512004114
gg24,bradley-terry-regularized,23,Vectorized/solady,0.009301128266090171
gg24,bradley-terry-regularized,24,ChainSafe/bls,0.00905540040501156
gg24,bradley-terry-regularized,25,ethstaker/eth-docker,0.007688795496663184
gg24,bradley-terry-regularized,26,protofire/solhint,0.007307819502994318
gg24,bradley-terry-regularized,27,taikoxyz/taiko-mono,0.006744243136966814
gg24,bradley-terry-regularized,28,Plonky3/Plonky3,0.005675950262805279
gg24,bradley-terry-regularized,29,Certora/CertoraProver,0.005566286417025812
gg24,bradley-terry-regularized,30,DefiLlama/chainlist,0.005220949889172291
gg24,bradley-terry-regularized,31,w3f/bls,0.004995604809923309
gg24,bradley-terry-regularized,32,DefiLlama/DefiLlama-Adapters,0.004841666238624436
gg24,bradley-terry-regularized,33,intellij-solidity/intellij-solidity,0.004823722848837373
gg24,bradley-terry-regularized,34,dappnode/DAppNode,0.004132775304361806
gg24,bradley-terry-regularized,35,arkworks-rs/r1cs-std,0.003666954865364161
gg24,bradley-terry-regularized,36,wealdtech/ethdo,0.002746788147588261
gg24,bradley-terry-regularized,37,wighawag/clones-with-immutable-args,0.002577716332365253
gg24,bradley-terry-regularized,38,smartcontracts/simple-optimism-node,0.0025375742827969177
gg24,bradley-terry-regularized,39,NethermindEth/sedge,0.0024204640108147503
gg24,bradley-terry-regularized,40,TrueBlocks/trueblocks-core,0.0023916115813786302
gg24,bradley-terry-regularized,41,skalenetwork/libBLS,0.002364854633874756
gg24,bradley-terry-regularized,42,lambdaclass/lambdaworks,0.002174574558424516
gg24,bradley-terry-regularized,43,Commit-Boost/commit-boost-client,0.0019219231364744082
gg24,bradley-terry-regularized,44,dusk-network/Poseidon252,0.0018455703315158583
gg24,bradley-terry-regularized,45,shazow/whatsabi,0.0018081841657398045
gg24,bradley-terry-regularized,46,EspressoSystems/jellyfish,0.0017364223681752592
gg24,bradley-terry-regularized,47,open-rpc/client-js,0.0013689952018697067
gg24,bradley-terry-regularized,48,succinctlabs/op-succinct,0.001339136032395968
gg24,bradley-terry-regularized,49,aestus-relay/mev-boost-relay,0.0013088171586574475
gg24,bradley-terry-regularized,50,lambdaclass/ethrex,0.0013070441547031032
gg24,bradley-terry-regularized,51,a16z/halmos,0.001296113353521215
gg24,bradley-terry-regularized,52,ethereum-attestation-service/eas-contracts,0.0011301660969559807
gg24,bradley-terry-regularized,53,CryptoExperts/poseidon,0.0011153715563679925
gg24,bradley-terry-regularized,54,NethermindEth/juno,0.001032244343900211
gg24,bradley-terry-regularized,55,HorizenLabs/poseidon2,0.000985904943131123
gg24,bradley-terry-regularized,56,succinctlabs/sp1,0.0009702032577944353
gg24,bradley-terry-regularized,57,NethermindEth/Forta-Agents,0.0009309002552799056
gg24,bradley-terry-regularized,58,holiman/goevmlab,0.0009281347676862266
gg24,bradley-terry-regularized,59,otterscan/otterscan,0.0009192750053894845
gg24,bradley-terry-regularized,60,edb-rs/edb,0.0008124010532680431
gg24,bradley-terry-regularized,61,OffchainLabs/stylus-sdk-rs,0.000806485833196396
gg24,bradley-terry-regularized,62,evmts/tevm-monorepo,0.0007861188019947225
gg24,bradley-terry-regularized,63,axiom-crypto/halo2-lib,0.0007635426084209204
gg24,bradley-terry-regularized,64,iden3/go-iden3-crypto,0.0007606093551425487
gg24,bradley-terry-regularized,65,EspressoSystems/hyperplonk,0.0007579475929286886
gg24,bradley-terry-regularized,66,arnaucube/poseidon-rs,0.000754762383881736
gg24,bradley-terry-regularized,67,ethstaker/ethstaker-deposit-cli,0.0007314740928611253
gg24,bradley-terry-regularized,68,Cyfrin/aderyn,0.0007210627729875368
gg24,bradley-terry-regularized,69,0xMiden/miden-vm,0.0007029548136693601
gg24,bradley-terry-regularized,70,orbitdb/orbitdb,0.0006644758827444617
gg24,bradley-terry-regularized,71,axiom-crypto/snark-verifier,0.0006210091481430326
gg24,bradley-terry-regularized,72,risc0/RustCrypto-elliptic-curves,0.0005848409082079733
gg24,bradley-terry-regularized,73,succinctlabs/rsp,0.000571926174025812
gg24,bradley-terry-regularized,74,attestantio/dirk,0.0005636403869720863
gg24,bradley-terry-regularized,75,dl-solarity/solidity-lib,0.0005513850569846565
gg24,bradley-terry-regularized,76,witnet/elliptic-curve-solidity,0.0004954902795302795
gg24,bradley-terry-regularized,77,wealdtech/ethereal,0.0004908896314838768
gg24,bradley-terry-regularized,78,ingonyama-zk/poseidon-hash,0.0004836060620639932
gg24,bradley-terry-regularized,79,stake-house/eth-wizard,0.0004659505892178762
gg24,bradley-terry-regularized,80,risc0/risc0-ethereum,0.00041095197025973595
gg24,bradley-terry-regularized,81,powdr-labs/powdr,0.0003992683587162662
gg24,bradley-terry-regularized,82,swiss-knife-xyz/swiss-knife,0.0003769218937926297
gg24,bradley-terry-regularized,83,simplito/elliptic-php,0.00036354951739473265
gg24,bradley-terry-regularized,84,matter-labs/solx,0.0003522672233447944
gg24,bradley-terry-regularized,85,lambdaclass/cairo_native,0.0003483589696845339
gg24,bradley-terry-regularized,86,jolly-roger-eth/ethereum-indexer,0.0003318538984624826
gg24,bradley-terry-regularized,87,OpenZeppelin/openzeppelin-relayer,0.0003037098571554886
gg24,bradley-terry-regularized,88,attestantio/vouch,0.0002988633782955954
gg24,bradley-terry-regularized,89,EOA-Blockchain-Labs/ethereumonarm,0.0002977747893021921
