competition_id,method,rank,item,weight
gg24,elo,1,scipr-lab/libsnark,0.026817788861192366
gg24,elo,2,libp2p/libp2p,0.024677625028848044
gg24,elo,3,flashbots/mev-boost-relay,0.02373902170099791
gg24,elo,4,wighawag/hardhat-deploy,0.022547060036338815
gg24,elo,5,blockscout/blockscout,0.02075620978720272
gg24,elo,6,iden3/snarkjs,0.019904219310994828
gg24,elo,7,LFDT-web3j/web3j,0.01787889725240824
gg24,elo,8,arkworks-rs/algebra,0.01749760217562557
gg24,elo,9,ethereum/js-ethereum-cryptography,0.017437661679254122
gg24,elo,10,protofire/solhint,0.017188192513717712
gg24,elo,11,Vectorized/solady,0.016805960183316884
gg24,elo,12,ethereum/py_ecc,0.015282580612317815
gg24,elo,13,taikoxyz/taiko-mono,0.015256837779260332
gg24,elo,14,Zokrates/ZoKrates,0.014614485179363678
gg24,elo,15,herumi/bls,0.01391884501143693
gg24,elo,16,Plonky3/Plonky3,0.013909578051832974
gg24,elo,17,flashbots/mev-boost,0.013532950693161197
gg24,elo,18,DefiLlama/DefiLlama-Adapters,0.012903158067237446
gg24,elo,19,indutny/elliptic,0.01198504446957703
gg24,elo,20,flashbots/rbuilder,0.011932655623475905
gg24,elo,21,herumi/mcl,0.01143764418446948
gg24,elo,22,ethstaker/eth-docker,0.011079958652302447
gg24,elo,23,arkworks-rs/r1cs-std,0.010947021298924534
gg24,elo,24,intellij-solidity/intellij-solidity,0.010938181197305002
gg24,elo,25,succinctlabs/sp1,0.010719933484081366
gg24,elo,26,wighawag/clones-with-immutable-args,0.010444938713478935
gg24,elo,27,flashbots/relay-specs,0.010110393399620238
gg24,elo,28,paulmillr/noble-curves,0.009902022805093327
gg24,elo,29,supranational/blst,0.009376575991377888
gg24,elo,30,Certora/CertoraProver,0.009060319981634021
gg24,elo,31,otterscan/otterscan,0.008997057331412024
gg24,elo,32,ChainSafe/bls,0.008979945987107298
gg24,elo,33,shazow/whatsabi,0.008876015912318548
gg24,elo,34,iden3/circomlib,0.008863762841615904
gg24,elo,35,l2beat/l2beat,0.00870458259807144
gg24,elo,36,EspressoSystems/jellyfish,0.008549686957671774
gg24,elo,37,NethermindEth/juno,0.008464883637556432
gg24,elo,38,TaceoLabs/co-snarks,0.008383696753121778
gg24,elo,39,dusk-network/Poseidon252,0.008041833717810557
gg24,elo,40,EspressoSystems/hyperplonk,0.007973953352958923
gg24,elo,41,DefiLlama/chainlist,0.007750236195833513
gg24,elo,42,dappnode/DAppNode,0.007724053540827565
gg24,elo,43,wealdtech/ethdo,0.007563785486242153
gg24,elo,44,orbitdb/orbitdb,0.0075600358045085905
gg24,elo,45,lambdaclass/lambdaworks,0.0075407208403799894
gg24,elo,46,dl-solarity/solidity-lib,0.007100308923881656
gg24,elo,47,witnet/elliptic-curve-solidity,0.0069308201939885855
gg24,elo,48,a16z/halmos,0.006610602525151819
gg24,elo,49,Commit-Boost/commit-boost-client,0.006518127007223753
gg24,elo,50,iden3/go-iden3-crypto,0.0063779219847426485
gg24,elo,51,open-rpc/client-js,0.006356022780708845
gg24,elo,52,evmts/tevm-monorepo,0.0063413893084054845
gg24,elo,53,axiom-crypto/halo2-lib,0.006300586577278971
gg24,elo,54,OffchainLabs/stylus-sdk-rs,0.006255034055802705
gg24,elo,55,Consensys/gnark-crypto,0.006167451523595917
gg24,elo,56,pcaversaccio/snekmate,0.006154554854337579
