competition_id,method,rank,item,weight
gg24,huber-log,1,Zokrates/ZoKrates,0.004975124484949197
gg24,huber-log,2,wighawag/clones-with-immutable-args,0.004975124483847756
gg24,huber-log,3,Verified-zkEVM/ArkLib,0.004975124482470956
gg24,huber-log,3,wealdtech/ethdo,0.004975124482470956
gg24,huber-log,4,wealdtech/ethereal,0.0049751244797173536
gg24,huber-log,4,witnet/elliptic-curve-solidity,0.0049751244797173536
gg24,huber-log,5,TrueBlocks/trueblocks-core,0.00497512447476087
gg24,huber-log,5,Vectorized/solady,0.00497512447476087
gg24,huber-log,6,verifereum/verifereum,0.00497512447448551
gg24,huber-log,7,wighawag/hardhat-deploy,0.004975124468702947
gg24,huber-log,8,TaceoLabs/co-snarks,0.004975124468152226
gg24,huber-log,9,triplewz/poseidon,0.004975124467601506
gg24,huber-log,10,Verified-zkEVM/VCV-io,0.004975124467326146
gg24,huber-log,11,succinctlabs/sp1,0.004975124465673985
gg24,huber-log,12,taikoxyz/taiko-mono,0.0049751244629203835
gg24,huber-log,13,shutter-network/rolling-shutter,0.0049751244601667815
gg24,huber-log,14,succinctlabs/network,0.004975124459065341
gg24,huber-log,15,taikoxyz/raiko,0.00497512445741318
gg24,huber-log,15,valida-xyz/valida,0.00497512445741318
gg24,huber-log,16,TobiWo/eth-duties,0.00497512445686246
gg24,huber-log,17,sumitvekariya/sol2seq,0.00497512445603638
gg24,huber-log,18,tlsnotary/tlsn,0.004975124455210299
gg24,huber-log,19,supranational/blst,0.004975124454934939
gg24,huber-log,20,swiss-knife-xyz/swiss-knife,0.004975124453833498
gg24,huber-log,21,w3f/bls,0.004975124453558138
gg24,huber-log,22,ritual-net/infernet-node,0.004975124450529176
gg24,huber-log,23,Verified-zkEVM/clean,0.0049751244494277355
gg24,huber-log,24,ritual-net/infernet-sdk,0.004975124448601655
gg24,huber-log,25,riscv/sail-riscv,0.004975124447500214
gg24,huber-log,26,succinctlabs/rsp,0.0049751244472248535
gg24,huber-log,27,stake-house/wagyu-key-gen,0.004975124446949494
gg24,huber-log,28,stake-house/eth-wizard,0.004975124445297333
gg24,huber-log,29,skalenetwork/libBLS,0.0049751244439205315
gg24,huber-log,30,Recon-Fuzz/recon-extension,0.004975124443645172
gg24,huber-log,30,shamatar/poseidon_hash,0.004975124443645172
gg24,huber-log,31,succinctlabs/op-succinct,0.004975124443094451
gg24,huber-log,32,serenita-org/vero,0.00497512444144229
gg24,huber-log,33,ReamLabs/ream,0.00497512444116693
gg24,huber-log,34,smartcontracts/simple-optimism-node,0.00497512444034085
gg24,huber-log,35,risc0/RustCrypto-elliptic-curves,0.004975124437587248
gg24,huber-log,36,rollup-fortress/uncensored,0.004975124436485808
gg24,huber-log,37,protofire/solhint,0.004975124436210447
gg24,huber-log,38,risc0/risc0-ethereum,0.004975124435384367
gg24,huber-log,39,shazow/whatsabi,0.004975124433456845
gg24,huber-log,40,qdrvm/qlean-mini,0.004975124432906125
gg24,huber-log,41,ProjectZKM/zkm-prover,0.004975124432630765
gg24,huber-log,42,Raiders0786/digibastion,0.0049751244315293245
gg24,huber-log,43,simplito/elliptic-php,0.004975124430703244
gg24,huber-log,44,Rocket-Rescue-Node/rescue-ui,0.004975124428500362
gg24,huber-log,45,ProjectZKM/Ziren,0.004975124427123561
gg24,huber-log,45,risc0/zirgen,0.004975124427123561
gg24,huber-log,46,PracticalParticle/Bloxchain-Protocol,0.004975124425746761
gg24,huber-log,47,ponkila/HomestakerOS,0.004975124425196041
gg24,huber-log,47,scipr-lab/libsnark,0.004975124425196041
gg24,huber-log,48,pcaversaccio/snekmate,0.004975124420514918
gg24,huber-log,49,Perfect-Abstractions/Compose,0.004975124420239558
gg24,huber-log,50,powdr-labs/powdr,0.004975124419964197
gg24,huber-log,51,openvm-org/stark-backend,0.004975124417761316
gg24,huber-log,52,pcaversaccio/safe-tx-hashes-util,0.004975124417210596
gg24,huber-log,52,q9f/eth.rb,0.004975124417210596
gg24,huber-log,53,OpenZeppelin/openzeppelin-relayer,0.0049751244169352355
gg24,huber-log,54,Pier-Two/Lantern.Discv5,0.004975124416659875
gg24,huber-log,55,PolyhedraZK/Expander,0.004975124416109155
gg24,huber-log,55,pawurb/mevlog-rs,0.004975124416109155
gg24,huber-log,56,NethermindEth/latticefold,0.004975124412804833
gg24,huber-log,57,Plonky3/Plonky3,0.004975124411703392
gg24,huber-log,58,openvm-org/openvm,0.00497512440839907
gg24,huber-log,59,matter-labs/solx,0.004975124407572989
gg24,huber-log,60,otterscan/otterscan,0.00497512440729763
gg24,huber-log,61,NethermindEth/sedge,0.004975124406471549
gg24,huber-log,62,openintentsframework/oif-solver,0.004975124406196189
gg24,huber-log,63,paulmillr/noble-curves,0.004975124405920828
gg24,huber-log,64,migalabs/goteth,0.004975124404268668
gg24,huber-log,65,orbitdb/orbitdb,0.004975124402616507
