competition_id,method,rank,item,weight
gg24,least-squares,1,wighawag/hardhat-deploy,0.006001138332611811
gg24,least-squares,2,Verified-zkEVM/ArkLib,0.005934343346412713
gg24,least-squares,3,witnet/elliptic-curve-solidity,0.005917505410897973
gg24,least-squares,4,wighawag/clones-with-immutable-args,0.0058847181164761505
gg24,least-squares,5,Zokrates/ZoKrates,0.005878728737332271
gg24,least-squares,6,wealdtech/ethereal,0.005874484149169432
gg24,least-squares,7,wealdtech/ethdo,0.005865074075568324
gg24,least-squares,8,Verified-zkEVM/clean,0.005863927516057647
gg24,least-squares,9,verifereum/verifereum,0.00584819377536883
gg24,least-squares,10,tlsnotary/tlsn,0.005838805696767528
gg24,least-squares,11,w3f/bls,0.005837326667477872
gg24,least-squares,12,Verified-zkEVM/VCV-io,0.005837288388385604
gg24,least-squares,13,TaceoLabs/co-snarks,0.005835726350242715
gg24,least-squares,14,triplewz/poseidon,0.005834723721344624
gg24,least-squares,15,TrueBlocks/trueblocks-core,0.005803117552932017
gg24,least-squares,16,Vectorized/solady,0.005776278126221449
gg24,least-squares,17,taikoxyz/taiko-mono,0.005774535947199573
gg24,least-squares,18,valida-xyz/valida,0.005767324144047164
gg24,least-squares,19,swiss-knife-xyz/swiss-knife,0.005743300502307087
gg24,least-squares,20,TobiWo/eth-duties,0.005735641802166647
gg24,least-squares,21,succinctlabs/sp1,0.00571531344990973
gg24,least-squares,22,taikoxyz/raiko,0.005707893864194475
gg24,least-squares,23,sumitvekariya/sol2seq,0.00570590669044917
gg24,least-squares,24,succinctlabs/rsp,0.00567074253165308
gg24,least-squares,25,supranational/blst,0.005653639415213617
gg24,least-squares,26,succinctlabs/network,0.005653046045236776
gg24,least-squares,27,succinctlabs/op-succinct,0.0056498653808096065
gg24,least-squares,28,stake-house/eth-wizard,0.005622161474697929
gg24,least-squares,29,shutter-network/rolling-shutter,0.005610128682953396
gg24,least-squares,30,scipr-lab/libsnark,0.005609288485725159
gg24,least-squares,31,serenita-org/vero,0.00560793345087775
gg24,least-squares,32,simplito/elliptic-php,0.005600093159699186
gg24,least-squares,33,stake-house/wagyu-key-gen,0.005599632427861442
gg24,least-squares,34,riscv/sail-riscv,0.005594899731450445
gg24,least-squares,35,smartcontracts/simple-optimism-node,0.005584012731847584
gg24,least-squares,36,risc0/risc0-ethereum,0.005563818792989313
gg24,least-squares,37,Rocket-Rescue-Node/rescue-ui,0.00556357791360157
gg24,least-squares,38,skalenetwork/libBLS,0.005548322640521495
gg24,least-squares,39,risc0/zirgen,0.005547385693922966
gg24,least-squares,40,shamatar/poseidon_hash,0.005546380669159877
gg24,least-squares,41,risc0/RustCrypto-elliptic-curves,0.005536465045943981
gg24,least-squares,42,ritual-net/infernet-node,0.005514357495855702
gg24,least-squares,43,ritual-net/infernet-sdk,0.005506624490421762
gg24,least-squares,44,rollup-fortress/uncensored,0.005505480755216512
gg24,least-squares,45,shazow/whatsabi,0.005486362064720953
gg24,least-squares,46,protofire/solhint,0.005485090738966287
gg24,least-squares,47,ReamLabs/ream,0.005472653365208762
gg24,least-squares,48,Raiders0786/digibastion,0.005467688658553477
gg24,least-squares,49,qdrvm/qlean-mini,0.0054531850169177295
gg24,least-squares,50,Recon-Fuzz/recon-extension,0.0054513414054424315
gg24,least-squares,51,ProjectZKM/zkm-prover,0.005440643076311133
gg24,least-squares,52,Perfect-Abstractions/Compose,0.005395868493984915
gg24,least-squares,53,q9f/eth.rb,0.005376320587100776
gg24,least-squares,54,PracticalParticle/Bloxchain-Protocol,0.005368081293820552
gg24,least-squares,55,powdr-labs/powdr,0.00536529462633456
gg24,least-squares,56,PolyhedraZK/Expander,0.005343024492064846
gg24,least-squares,57,ProjectZKM/Ziren,0.005342974271702183
gg24,least-squares,58,Plonky3/Plonky3,0.005337368559084588
gg24,least-squares,59,ponkila/HomestakerOS,0.005329468298797721
gg24,least-squares,60,Pier-Two/Lantern.Discv5,0.005322122299090218
gg24,least-squares,61,pcaversaccio/snekmate,0.005317768684408887
gg24,least-squares,62,openvm-org/stark-backend,0.005312918678968598
gg24,least-squares,63,pawurb/mevlog-rs,0.005310361628683238
gg24,least-squares,64,OpenZeppelin/openzeppelin-relayer,0.005307098670414213
gg24,least-squares,65,pcaversaccio/safe-tx-hashes-util,0.00530570119778503
gg24,least-squares,66,NethermindEth/latticefold,0.005277465590073969
gg24,least-squares,67,orbitdb/orbitdb,0.005251258001918562
gg24,least-squares,68,openlabelsinitiative/OLI,0.0052457451684537965
gg24,least-squares,69,NethermindEth/sedge,0.0052345466478434174
gg24,least-squares,70,OffchainLabs/stylus-sdk-rs,0.005232641058054258
gg24,least-squares,71,openintentsframework/oif-contracts,0.0052124389127678515
gg24,least-squares,72,opensource-observer/oso,0.0051986919449528825
gg24,least-squares,73,openintentsframework/oif-solver,0.005193284210826497
gg24,least-squares,74,migalabs/armiarma,0.005186634976720443
gg24,least-squares,75,paulmillr/noble-curves,0.005186536199115394
gg24,least-squares,76,otterscan/otterscan,0.005185865551691922
gg24,least-squares,77,openvm-org/openvm,0.005180480787244747
gg24,least-squares,78,migalabs/goteth,0.005177281109662518
gg24,least-squares,79,matter-labs/solx,0.005175002760936829
gg24,least-squares,80,open-rpc/client-js,0.005153844927286537
gg24,least-squares,81,NethermindEth/juno,0.005138604051081006
gg24,least-squares,82,NethermindEth/Forta-Agents,0.005134080854308701
gg24,least-squares,83,lighthouse-web3/lighthouse-package,0.005110655351636419
gg24,least-squares,84,lurk-lab/neptune-triton,0.005102755038040927
gg24,least-squares,85,manojkgorle/brainfuckvm,0.005085465103410983
gg24,least-squares,86,Lightprotocol/light-poseidon,0.005085411871621529
gg24,least-squares,87,lovesh/bulletproofs-r1cs-gadgets,0.005080009272200626
gg24,least-squares,88,NethermindEth/nine,0.005075458076379117
gg24,least-squares,89,Luganodes/Pectra-Batch-Contract,0.005054283922431833
gg24,least-squares,90,Markeljan/web3gpt,0.0050336774099551
gg24,least-squares,91,Lay3rLabs/WAVS,0.0050294122294072836
gg24,least-squares,92,Layr-Labs/eigenx-cli,0.005028909196191768
gg24,least-squares,93,LFDT-web3j/web3j,0.005024377352786401
gg24,least-squares,94,lambdaclass/ethrex,0.0050233380438668195
gg24,least-squares,95,libp2p/libp2p,0.005016745326433857
gg24,least-squares,96,lambdaclass/rex,0.004993480095775569
gg24,least-squares,97,iden3/snarkjs,0.004984499977608722
gg24,least-squares,98,Layr-Labs/devkit-cli,0.004979309991309836
gg24,least-squares,99,jolly-roger-eth/ethereum-indexer,0.004978563304979699
gg24,least-squares,100,lambdaclass/lambdaworks,0.004964369108896307
gg24,least-squares,101,Jam516/BundleBear,0.004957084800406598
gg24,least-squares,102,l2beat/l2beat,0.004930193616280849
gg24,least-squares,103,lambdaclass/cairo_native,0.00489344419622085
gg24,least-squares,104,keep-starknet-strange/garaga,0.004892630148903673
gg24,least-squares,105,ithacaxyz/porto,0.004867312132495624
gg24,least-squares,106,keep-starknet-strange/poseidon-rs,0.004865727566961569
gg24,least-squares,107,ithacaxyz/relay,0.004864390153013627
gg24,least-squares,108,HorizenLabs/poseidon2,0.00485666889743579
gg24,least-squares,109,ingonyama-zk/poseidon-hash,0.004850061139947623
gg24,least-squares,110,joshstevens19/rrelayer,0.004849929553077613
gg24,least-squares,111,kamikazebr/owner-sync-safe,0.0048495774014461835
gg24,least-squares,112,iggy-social/iggy-social-frontend,0.004846127091330469
gg24,least-squares,113,herumi/bls,0.004841644127134495
gg24,least-squares,114,ithacaxyz/account,0.0048345189265083036
gg24,least-squares,115,indutny/elliptic,0.004823386147973389
gg24,least-squares,116,growthepie/gtp-frontend,0.0048144664574383805
gg24,least-squares,117,intellij-solidity/intellij-solidity,0.00481182045545873
gg24,least-squares,118,iden3/circomlib,0.004800172309817026
gg24,least-squares,119,iden3/go-iden3-crypto,0.004787628105795707
gg24,least-squares,120,HorizenOfficial/ginger-lib,0.004778506903755423
gg24,least-squares,121,gattaca-com/helix,0.004756864259194745
gg24,least-squares,122,holiman/goevmlab,0.004756791890189318
gg24,least-squares,123,growthepie/gtp-dna,0.004743602753312773
gg24,least-squares,124,han0110/plonkish,0.00474075795211589
gg24,least-squares,125,han0110/hash-sig-agg,0.004733293793838243
gg24,least-squares,126,evmts/tevm-monorepo,0.0047295166531198035
gg24,least-squares,127,han0110/bench-hash-in-snark,0.004719616859350798
